Cycle,PC001,PC002,PC003,PC004,PC005,PC006,PC007,PC008,PC009,PC010,PC011,PC012,PC013,PC014,PC015,PC016,PC017,PC018,PC019,PC020,PC021,PC022,PC023,PC024,PC025,PC026,PC027,PC028,PC029,PC030,PC031,PC032,PC033,PC034,PC035,PC036,PC037,PC038,PC039,PC040,PC041,PC042,PC043,PC044,PC045,PC046,PC047,PC048,PC049,PC050,PC051,PC052,PC053,PC054,PC055,PC056,PC057,PC058,PC059,PC060,PC061,PC062,PC063,PC064,PC065,PC066,PC067,PC068,PC069,PC070,PC071,PC072,PC073,PC074,PC075,PC076,PC077,PC078,PC079,PC080,PC081,PC082,PC083,PC084,PC085,PC086,PC087,PC088,PC089,PC090,PC091,PC092,PC093,PC094,PC095,PC096,PC097,PC098,PC099,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131
1,46.542,88.099,47.103,44.922,46.626,89.255,43.344,43.873,89.095,89.914,89.97,44.816,88.833,87.006,41.925,45.941,44.645,86.321,86.641,43.771,43.933,87.277,87.435,46.603,88.303,44.442,45.369,88.2,88.954,50.84,49.991,49.19,51.215,90.469,89.826,45.275,48.22,90.372,83.19,85.226,82.547,84.73,82.766,80.425,79.38,82.32,80.173,83.775,84.512,78.969,45.02,43.017,85.611,86.802,86.209,87.516,87.12,43.769,45.972,45.934,42.733,86.247,88.604,46.478,46.787,46.285,86.291,87.086,87.375,45.668,46.502,45.948,91.633,92.168,91.737,48.55,48.611,45.915,93.809,94.078,94.379,49.602,49.601,47.208,,46.614,43.635,43.918,44.334,45.995,47.7472,48.14041,45.89985,43.84124,48.11739,46.3919,44.20779,44.77891,46.37086,46.07046,47.41719,,,46.96706,45.02956,46.07661,,,46.76244,46.04304,46.06517,45.36889,,,46.86559,47.05741,47.11836,45.60913,45.29501,46.599,180.9849,90.09937,90.96261,90.28451,89.38954,91.711,47.51747,45.85217,46.15224,45.69591,45.90876
2,46.489,87.662,47.147,44.983,46.44,88.991,43.237,43.654,88.86,89.661,89.69,44.671,88.476,86.59,41.685,45.75,44.365,85.895,86.276,43.566,43.734,86.856,87.059,46.562,88.036,44.5,45.433,88.011,88.706,49.023,48.288,47.192,49.439,90.264,89.61,45.251,48.267,90.139,82.671,84.769,82.003,84.26,82.328,79.867,78.783,81.818,79.762,83.334,84.013,78.333,44.876,42.904,85.292,86.471,85.746,87.138,86.69,43.601,45.829,45.799,42.625,85.659,88.295,46.36,46.64,46.167,84.9,85.75,86.156,44.901,45.729,45.287,91.358,91.893,91.545,48.489,48.57,45.885,93.801,94.048,94.372,49.67,49.661,47.283,,46.487,43.354,43.568,43.969,45.834,47.68822,48.09885,45.82345,43.80331,48.05792,46.32555,44.09189,44.62442,46.31986,46.03826,47.39697,,,46.93433,44.94564,45.99452,,,46.64062,46.00317,45.86748,45.25129,,,46.75921,46.9379,47.01111,45.5401,45.20349,46.5182,180.3602,89.83913,90.68498,89.98647,89.06762,91.40064,47.41355,45.78505,46.03465,45.61839,45.86462
3,46.405,87.207,47.126,45.011,46.294,88.599,43.141,43.453,88.597,89.399,89.445,44.513,88.086,86.202,41.466,45.595,44.12,85.557,85.93,43.386,43.56,86.484,86.692,46.508,87.764,44.513,45.425,87.759,88.415,48.486,47.776,46.407,48.967,90.047,89.396,45.204,48.267,89.908,82.234,84.379,81.512,83.88,81.944,79.372,78.284,81.386,79.383,82.972,83.564,77.776,44.756,42.825,85.001,86.16,85.324,86.824,86.341,43.463,45.711,45.687,42.54,85.151,87.979,46.273,46.514,46.06,84.335,85.281,85.719,44.749,45.592,45.142,91.02,91.575,91.225,48.397,48.498,45.846,93.709,93.922,94.283,49.694,49.688,47.309,,46.398,42.983,43.162,43.568,45.694,47.61957,48.03518,45.733,43.68419,47.97547,46.24035,43.93936,44.50962,46.24035,45.98132,47.35334,,,46.89243,44.87984,45.90809,,,46.53153,45.95573,45.75122,45.13218,,,46.65496,46.81634,46.9039,45.45923,45.1112,46.42542,179.6725,89.57561,90.39222,89.6915,88.80885,91.10631,47.30934,45.71117,45.92088,45.53355,45.79185
4,46.335,86.808,47.154,45.037,46.212,88.37,43.055,43.262,88.339,89.136,89.209,44.404,87.699,85.85,41.282,45.462,43.903,85.221,85.638,43.226,43.418,86.135,86.356,46.455,87.506,44.515,45.398,87.516,88.133,47.906,47.466,45.816,48.503,89.825,89.165,45.145,48.277,89.681,81.827,84.034,81.061,83.526,81.605,78.94,77.856,81.02,79.048,82.662,83.156,77.285,44.658,42.753,84.72,85.875,84.944,86.536,86.038,43.35,45.613,45.575,42.466,84.729,87.688,46.166,46.398,45.962,83.915,84.889,85.34,44.621,45.452,45.025,90.652,91.231,90.915,48.278,48.418,45.788,93.549,93.769,94.157,49.689,49.682,47.304,,46.32,42.612,42.756,43.188,45.542,47.54384,47.96448,45.67691,43.55126,47.91431,46.1159,43.83085,44.40283,46.15867,45.91266,47.2957,,,46.8426,44.82186,45.8289,,,46.43396,45.89134,45.65756,45.01451,,,46.5515,46.69894,46.80767,45.38184,45.02163,46.33941,178.9823,89.31273,90.11918,89.40952,88.57591,90.84055,47.21693,45.64093,45.81882,45.45363,45.71144
5,46.256,86.408,47.142,45.048,46.094,88.084,42.975,43.097,88.095,88.886,88.991,44.289,87.372,85.54,41.124,45.331,43.697,84.935,85.364,43.1,43.3,85.814,86.042,46.403,87.265,44.519,45.364,87.284,87.869,47.76,47.07,45.325,48.105,89.605,88.943,45.102,48.29,89.463,81.466,83.722,80.641,83.184,81.3,78.561,77.47,80.673,78.733,82.38,82.785,76.839,44.571,42.691,84.447,85.617,84.6,86.272,85.756,43.251,45.533,45.469,42.404,84.364,87.421,46.077,46.292,45.874,83.557,84.539,85.016,44.514,45.356,44.927,90.286,90.892,90.589,48.123,48.336,45.723,93.38,93.597,94.017,49.67,49.663,47.295,,46.245,42.28,42.396,42.848,45.412,47.46936,47.90247,45.61755,43.41312,47.82743,45.95276,43.74273,44.30461,46.08057,45.84403,47.22499,,,46.80715,44.77124,45.76336,,,46.34687,45.83037,45.55276,44.91421,,,46.46733,46.58607,46.71941,45.31346,44.9321,46.26169,178.3917,89.07505,89.86513,89.15452,88.35524,90.59606,47.13322,45.57576,45.71964,45.35207,45.64
6,46.147,86.067,47.128,45.056,45.972,87.817,42.902,42.942,87.863,88.646,88.787,44.184,87.057,85.248,40.981,45.219,43.524,84.663,85.097,42.988,43.202,85.508,85.753,46.357,87.041,44.53,45.286,87.063,87.626,47.146,46.776,44.909,47.688,89.394,88.727,45.057,48.268,89.258,81.128,83.423,80.262,82.865,81.023,78.215,77.119,80.342,78.453,82.124,82.451,76.432,44.494,42.637,84.187,85.381,84.292,86.031,85.5,43.162,45.456,45.352,42.348,84.037,87.177,45.989,46.182,45.797,83.239,84.234,84.73,44.422,45.277,44.84,89.971,90.57,90.33,47.99,48.258,45.66,93.21,93.421,93.873,49.639,49.629,47.273,,46.196,41.997,42.087,42.561,45.514,47.395,47.85101,45.54938,43.27913,47.76831,45.86596,43.67119,44.20515,46.00554,45.77938,47.18697,,,46.77493,44.7266,45.69817,,,46.26502,45.7609,45.47159,44.82384,,,46.38592,46.49065,46.63875,45.25025,44.84161,46.19199,177.8629,88.85976,89.6141,88.88165,88.15112,90.36984,47.05555,45.5136,45.61452,45.29325,45.56988
7,46.027,85.745,47.114,45.052,45.816,87.57,42.838,42.808,87.642,88.403,88.597,44.09,86.765,84.981,40.856,45.121,43.391,84.404,84.857,42.894,43.117,85.224,85.495,46.314,86.83,44.541,45.171,86.837,87.4,47.111,46.459,44.523,47.434,89.192,88.527,45.032,48.257,89.063,80.811,83.151,79.905,82.575,80.77,77.901,76.8,80.042,78.19,81.888,82.132,76.057,44.424,42.582,83.946,85.161,84.013,85.814,85.266,43.082,45.38,45.26,42.294,83.741,86.951,45.917,46.073,45.725,82.949,83.964,84.469,44.339,45.184,44.759,89.66,90.258,90.078,47.865,48.184,45.602,93.043,93.253,93.729,49.607,49.589,47.25,,46.147,41.765,41.836,42.321,45.463,47.33104,47.80317,45.49376,43.14905,47.69936,45.79821,43.59824,44.12561,45.93395,45.71021,47.15078,,,46.74427,44.68659,45.64238,,,46.19445,45.67604,45.40163,44.74348,,,46.30591,46.39909,46.5657,45.18903,44.75427,46.12626,177.1594,88.66052,89.38467,88.63532,87.96058,90.15963,46.98741,45.45159,45.50822,45.19886,45.50658
8,45.917,85.395,47.101,45.048,45.706,87.335,42.766,42.689,87.43,88.155,88.417,44.011,86.492,84.73,40.744,45.038,43.267,84.167,84.631,42.81,43.048,84.96,85.232,46.274,86.639,44.583,45.102,86.631,87.189,46.286,46.039,43.448,46.754,88.998,88.337,44.991,48.241,88.879,80.514,82.896,79.574,82.305,80.536,77.607,76.505,79.766,77.952,81.669,81.84,75.706,44.36,42.535,83.713,84.95,83.753,85.606,85.054,43.015,45.309,45.171,42.247,83.476,86.734,45.849,45.978,45.66,82.685,83.721,84.23,44.249,45.082,44.685,89.384,89.976,89.836,47.753,48.115,45.546,92.879,93.084,93.589,49.58,49.532,47.224,,46.099,41.578,41.637,42.124,45.41,47.26126,47.75056,45.44144,43.01938,47.64693,45.73529,43.5242,44.05913,45.86781,45.63924,47.1253,,,46.71942,44.65056,45.59283,,,46.12399,45.6166,45.33703,44.66876,,,46.23517,46.31421,46.50156,45.13363,44.67348,46.06337,176.6077,88.45012,89.16593,88.41316,87.78671,89.96418,46.91188,45.39465,45.39531,45.14364,45.44788
9,45.778,85.041,47.09,45.043,45.632,87.108,42.705,42.581,87.228,87.917,88.246,43.937,86.243,84.492,40.639,44.964,43.154,83.946,84.422,42.731,42.992,84.709,84.979,46.236,86.458,44.575,45.048,86.433,86.988,45.771,45.097,42.73,45.758,88.814,88.152,44.954,48.233,88.697,80.241,82.66,79.26,82.061,80.321,77.329,76.229,79.51,77.731,81.463,81.572,75.376,44.309,42.494,83.489,84.751,83.509,85.418,84.848,42.948,45.247,45.09,42.201,83.23,86.53,45.772,45.895,45.6,82.444,83.491,84.012,44.148,44.999,44.616,89.124,89.716,89.61,47.638,48.049,45.495,92.726,92.918,93.457,49.557,49.513,47.194,,46.052,41.421,41.477,41.967,45.364,47.19519,47.69712,45.39114,42.88173,47.58922,45.67445,43.52392,43.98159,45.80533,45.55808,47.13425,,,46.70139,44.61295,45.54744,,,46.06239,45.56137,45.27711,44.59965,,,46.16809,46.23453,46.43835,45.08027,44.60455,46.00364,176.0656,88.25642,88.95776,88.1946,87.61302,89.78157,46.85473,45.33019,45.29283,45.08238,45.38608
10,45.653,84.737,47.08,45.033,45.575,86.894,42.67,42.482,87.031,87.681,88.082,43.872,86.011,84.276,40.55,44.89,43.049,83.732,84.222,42.662,42.944,84.472,84.747,46.199,86.276,44.561,45,86.242,86.798,45.572,44.803,42.271,45.554,88.641,87.977,44.929,48.218,88.521,79.99,82.439,78.974,81.828,80.105,77.071,75.968,79.273,77.526,81.27,81.324,75.064,44.278,42.456,83.275,84.565,83.281,85.235,84.654,42.879,45.185,45.009,42.157,83.018,86.339,45.716,45.814,45.545,82.214,83.274,83.812,44.056,44.921,44.555,88.875,89.474,89.397,47.525,47.987,45.446,92.583,92.763,93.325,49.541,49.483,47.167,,46.005,41.286,41.344,41.832,45.32,47.13352,47.64424,45.34438,42.74231,47.50943,45.62044,43.45508,43.90854,45.74685,45.4843,47.13112,,,46.68108,44.57927,45.51205,,,46.00752,45.51225,45.21506,44.53125,,,46.10338,46.15972,46.38357,45.03267,44.53867,45.94619,175.5635,88.07505,88.75827,87.97487,87.45135,89.6085,46.78065,45.28272,45.19061,45.0377,45.31531
